name,price,screen_size,display_resolution,cpu,proccessor_cores,set_of_cpu,cpu_frequency,gpu,ram,memory,operating_system,weight,brand
Lenovo IdeaPad 3 15ADA05 81W101AJRU,38480,15.6,1920x1080 FHD ,AMD Ryzen 3 ,2.0,3250U ,2.6,AMD Radeon Graphics ,4.0,SSD ,Windows 10 Home 64-bit ,1705.2024914285716,Lenovo 
ASUS ROG Flow X13 GV301QC-K6126T 90NR04G5-M02500,240000,13.4,1920х1200 ,AMD Ryzen 9 ,8.0,5980HS ,3.0,NVIDIA GeForce RTX 3050 ,16.0,SSD ,Windows 10 Home 64-bit ,1300.0,ASUS 
Lenovo ThinkPad X1 Carbon G10 21CCS9PX01,182890,14.0,1920х1200 ,Intel Core i5 ,10.0,1235U ,1.3,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1705.2024914285716,Lenovo 
ASUS TUF Gaming A15 FA507RE-HN063 90NR08Y2-M004P0,160535,15.6,1920x1080 FHD ,AMD Ryzen 7 ,8.0,6800H ,3.2,NVIDIA GeForce RTX 3050 Ti ,16.0,SSD ,DOS / без ОС ,2200.0,ASUS 
HP 15s-eq2069ur 4D4A7EA,37930,15.6,1920x1080 FHD ,AMD Ryzen 3 ,4.0,5300U ,2.6,AMD Radeon Graphics ,4.0,SSD ,Windows 10 Home 64-bit ,1705.2024914285716,HP 
Apple 16-inch MacBook Pro 2021 Space Grey MK183RU/A,221000,16.2,3456х2234 ,Apple M1 Pro ,10.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,MAC OS ,2150.0,Apple 
Dell Vostro 3510 N8004VN3510EMEA01,82365,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,Windows 11 Pro ,1700.0,Dell 
Acer Acer Aspire 3 NX.KDEER.00C,44400,15.6,1920x1080 FHD ,AMD Ryzen 5 ,4.0,7520U ,2.8,AMD Radeon Graphics ,8.0,SSD ,DOS / без ОС ,1705.2024914285716,Acer 
HIPER DZEN MTL1569 X1H1481S,59800,15.6,1920x1080 FHD ,Intel Core i5 ,4.0,1135G7 ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,Windows 10 Home 64-bit ,1700.0,HIPER 
Acer Aspire 3 A315-59-55NK Slim NX.K6SER.00N,67000,15.6,1920x1080 FHD ,Intel Core i7 ,10.0,1255U ,2.4,Intel Iris Xe Graphics ,16.0,SSD ,DOS / без ОС ,1705.2024914285716,Acer 
Apple MacBook Air A2681 MLY13LL/A,135000,13.6,2560x1664 ,Apple M2 ,8.0,1135G7 ,2.4,Intel Iris Xe Graphics ,8.0,SSD ,MAC OS ,1240.0,Apple 
ASUS Vivobook Pro 15 OLED M3500QC-L1340W 90NB0UT2-M004L0,98000,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5600H ,3.3,NVIDIA GeForce RTX 3050 ,16.0,SSD ,Windows 11 Home ,1650.0,ASUS 
Lenovo IdeaPad IP5 14IIL05 81YH0066RK,57090,14.0,1920x1080 FHD ,Intel Core i5 ,4.0,1035G1 ,1.0,Intel UHD Graphics ,8.0,SSD ,no OS (без операционной системы) ,1705.2024914285716,Lenovo 
Dream Machines RG3060-15KZ51,123063,15.6,1920x1080 FHD ,Intel Core i7 ,14.0,12700H ,2.3,NVIDIA GeForce RTX 3060 ,32.0,SSD ,no OS (без операционной системы) ,2200.0,Dream Machines 
Acer Nitro 5 AN515-58-5995 NH.QFMEP.00A,142685,15.6,1920x1080 FHD ,Intel Core i5 ,12.0,12500H ,3.3,NVIDIA GeForce RTX 3060 ,8.0,SSD ,no OS (без операционной системы) ,2500.0,Acer 
ASUS ROG Strix G15 G513IE-HN065W 90NR0582-M002B0,107377,15.6,1920x1080 FHD ,AMD Ryzen 7 ,8.0,4800H ,2.9,NVIDIA GeForce RTX 3050 Ti ,16.0,SSD ,Windows 11 Home ,2300.0,ASUS 
Lenovo Игровой IdeaPad  3 15ACH6 82K2007HRM,82389,15.6,1920x1080 FHD ,AMD Ryzen 5 ,6.0,5600H ,3.33,NVIDIA GeForce RTX 3050 Ti ,8.0,SSD ,DOS / без ОС ,2250.0,Lenovo 
Lenovo ThinkPad X1 Carbon Gen 10 21CCS9PY01/M,237701,14.0,2240x1400 ,Intel Core i7 ,10.0,1265U ,1.8,Intel Iris Xe Graphics ,16.0,SSD ,Windows 11 Pro ,1120.0,Lenovo 
